Day,January,February,March,April,May,June,July,August,September,October,November,December
1,,0.0072629155353858875,0.0048622850167895255,0.005193921312235547,-0.002569703209724711,0.002457950921882675,0.0023447031339580166,-0.005603474580497264,-0.0004901540364651385,0.0020754391842216064,0.0006937405503945914,0.0025971090688809957
2,0.005536512156929827,-0.00018521496696835836,-0.0018136004647986276,0.009832556113175076,0.005439228734015778,0.0017455770271453239,-0.0008872058373867536,0.00037528629975619877,0.003575333556137556,-0.0013501339384916883,0.0021589405947573335,0.0033516908559070384
3,0.004540947439560283,0.004459061741794522,-0.0017735110292458967,-0.0054467122192892094,-0.002642927198996873,0.0010976229305012116,0.0007366771713726511,0.0011338714961366258,-0.001269863017362571,0.004743303563101882,0.003269335974857545,-0.004068873862967622
4,0.005178759198034004,-0.002632214831857962,0.002574730083138692,-0.00019915202312996698,-0.0019194145849271496,-0.0017453222852615055,0.0016505430240462942,-0.0008530707264078042,-0.002470322845915188,0.0012621246650861811,0.009266036884684204,-0.0006859950719505713
5,-0.001748035615230722,-0.0014798792425990872,-0.0016601133864004305,0.0033182107864186874,0.00431901064945397,-0.0021074939088907016,-0.0015679135873030942,-0.0016380412323409302,-0.006740739038717183,0.006061623943234925,-0.00043500971988573694,0.002173336174359475
6,0.001209640173752557,-0.0009585645413730656,-0.0015488073551716047,0.003915126374103381,0.00017778425939163957,-0.00018685123889500472,0.00137891239440102,-0.001413399504414158,0.001498244552992225,-0.002288200134181204,-0.002376200674005218,0.0006234275363429632
7,-0.0032494832873769704,-0.0007671589043334634,-0.003713752339737811,0.004617870467432316,-0.003227977756973846,0.0018749329242482068,0.0023084908863940136,0.0009146952063526955,0.0003511331854201594,-0.00025054189047590434,0.0014476791657524624,0.001591833642695819
8,-0.0002491332946663575,0.0004376464608790276,0.0010361787072857525,-6.817144304008802e-05,0.0014002077655310746,-0.003615135954845568,-0.00039119615185841653,0.002642277805947873,0.0027586348546760012,-0.005749307541249998,0.00031351578282167044,0.0014295376411070841
9,-0.002173970794774458,0.0014980279887636223,-0.002455526380424802,0.006128077471622418,-0.0023470076668546244,-0.0017069818907793268,0.001882339774931754,0.0021345047272495143,-0.0010797140854961569,-0.0005060550908370404,0.00018599314807341284,-0.0009914484422164818
10,0.0005527609461200897,-0.0026625695254490008,-0.0032868395063153145,0.0021370595250449573,0.003470082855871113,-0.001985038872735609,-0.003599102609124991,-0.004869844356997358,-8.984704799703784e-05,-0.0022085686068334027,-3.543141196986842e-05,-0.002777112861229722
