day_of_week,Return,Return %,Trades,Standard Dev,Coeffv
Monday,-0.00037704905421710283,-23.88%,97611,2.283609942529022,2.3394458898391987e-05
Tuesday,0.00030444444467224153,19.28%,104248,3.5272957863893875,3.383447578739918e-05
Wednesday,0.0010876049566083796,68.89%,104890,3.4313713617760944,3.2712928553638596e-05
Thursday,-7.41798980746196e-05,-4.7%,104890,2.2368189939668075,2.1324924163917184e-05
Friday,0.0006379994178338327,40.41%,103048,2.0675035835684215,2.0063097684979965e-05
